date,open,close,high,low,volume,volume
2024-01-17,22.08,21.46,22.15,21.38,57601.0,57601.0
2024-01-18,21.51,21.74,21.77,20.48,75262.0,75262.0
2024-01-19,21.41,20.22,21.41,20.1,80163.0,80163.0
2024-01-22,20.12,18.2,20.12,18.2,88425.0,88425.0
2024-01-23,17.77,17.7,18.0,16.9,63430.0,63430.0
2024-01-24,17.85,17.76,18.2,17.14,52532.0,52532.0
2024-01-25,17.68,18.44,18.44,17.3,54039.0,54039.0
2024-01-26,18.39,17.93,18.64,17.89,43460.0,43460.0
2024-01-29,17.89,16.55,17.97,16.38,68655.0,68655.0
2024-01-30,16.6,15.8,16.6,15.74,45400.0,45400.0
2024-01-31,15.45,14.36,15.5,14.22,75398.0,75398.0
2024-02-01,14.5,15.2,15.5,14.5,81961.0,81961.0
